run_id,hostname,suite_type,test_name,benchmark_name,dataset,metric,pg_parallel_workers,top,m,ef_construction,ef_search,lists,sampling_factor,nprob,epsilon,residual_quantization,build_threads,load_time_s,clustering_time,index_build_time_s,index_size,recall,qps,p50_latency_ms,p99_latency_ms
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,20-40-1.0,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"20,40",1.0,True,N/A,N/A,529.94s,1460,400 GB,0.9084,266.8985939273883,3.6466375458985567,6.587201438378541
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,20-40-1.5,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"20,40",1.5,True,N/A,N/A,529.94s,1460,400 GB,0.9251,264.3291601700765,3.6871525226160884,6.531970137730239
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,20-40-1.9,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"20,40",1.9,True,N/A,N/A,529.94s,1460,400 GB,0.9297,258.8970045191678,3.770216484554112,6.625709596555679
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,25-50-1.0,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"25,50",1.0,True,N/A,N/A,529.94s,1460,400 GB,0.9168,226.47407136091806,4.311301046982408,7.5344393216073495
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,25-50-1.5,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"25,50",1.5,True,N/A,N/A,529.94s,1460,400 GB,0.9329,220.33489319959776,4.422971047461033,7.705140912439673
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,25-50-1.9,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"25,50",1.9,True,N/A,N/A,529.94s,1460,400 GB,0.9377,217.76885070598237,4.493754589930177,7.736042868345976
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,50-100-1.0,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"50,100",1.0,True,N/A,N/A,529.94s,1460,400 GB,0.9347,121.46975051237749,8.13015946187079,12.348915701732038
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,50-100-1.5,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"50,100",1.5,True,N/A,N/A,529.94s,1460,400 GB,0.9525,118.85793631314556,8.29020794481039,12.483709808439016
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,50-100-1.9,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"50,100",1.9,True,N/A,N/A,529.94s,1460,400 GB,0.9568,120.37452523490977,8.181182900443673,12.185762440785766
20260129143437,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip-2,10-20-1.0,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"10,20",1.0,True,N/A,N/A,505.99s,1311,400 GB,0.8724,433.9500784459955,2.1888489136472344,4.618099897634237
